-- run 1 events --
class          start      dur     rest
-----          -----     ----     ----
  0 (class)    10.00     1.50     0.32
  0 (class)    11.82     1.50     0.41
  0 (class)    13.73     1.50     0.33
  0 (class)    15.56     1.50     0.21
  0 (class)    17.27     1.50     0.06
  0 (class)    18.83     1.50     0.33
  0 (class)    20.66     1.50     0.02
  0 (class)    22.18     1.50     0.49
  0 (class)    24.17     1.50     0.32
  0 (class)    25.99     1.50     0.17
  0 (class)    27.66     1.50     0.33
  0 (class)    29.49     1.50     0.29
  0 (class)    31.28     1.50     0.08
  0 (class)    32.86     1.50     0.42
  0 (class)    34.78     1.50     0.41
  0 (class)    36.69     1.50     0.44
  0 (class)    38.63     1.50     0.11
  0 (class)    40.24     1.50     0.27
  0 (class)    42.01     1.50     0.38
  0 (class)    43.89     1.50     0.24
  0 (class)    45.63     1.50     0.40
  0 (class)    47.53     1.50     0.41
  0 (class)    49.44     1.50     0.37
  0 (class)    51.31     1.50     0.32
  0 (class)    53.13     1.50     0.47
  0 (class)    55.10     1.50     0.17
  0 (class)    56.77     1.50     0.11
  0 (class)    58.38     1.50     0.30
  0 (class)    60.18     1.50     0.50
  0 (class)    62.18     1.50     0.27
  0 (class)    63.95     1.50     0.09
  0 (class)    65.54     1.50     0.21
  0 (class)    67.25     1.50     0.16
  0 (class)    68.91     1.50     0.37
  0 (class)    70.78     1.50     0.17
  0 (class)    72.45     1.50     0.32
  0 (class)    74.27     1.50     0.04
  0 (class)    75.81     1.50     0.35
  0 (class)    77.66     1.50     0.14
  0 (class)    79.30     1.50     0.08
  0 (class)    80.88     1.50     0.03
  0 (class)    82.41     1.50     0.45
  0 (class)    84.36     1.50     0.05
  0 (class)    85.91     1.50     0.43
  0 (class)    87.84     1.50     0.28
  0 (class)    89.62     1.50     0.25
  0 (class)    91.37     1.50     0.22
  0 (class)    93.09     1.50     0.03
  0 (class)    94.62     1.50     0.39
  0 (class)    96.51     1.50     0.04
  0 (class)    98.05     1.50     0.45
  0 (class)   100.00     1.50     0.24
  0 (class)   101.74     1.50     0.42
  0 (class)   103.66     1.50     0.35
  0 (class)   105.51     1.50     0.12
  0 (class)   107.13     1.50     0.23
  0 (class)   108.86     1.50     0.43
  0 (class)   110.79     1.50     0.29
  0 (class)   112.58     1.50     0.38
  0 (class)   114.46     1.50     0.11
  0 (class)   116.07     1.50     0.06
  0 (class)   117.63     1.50     0.08
  0 (class)   119.21     1.50     0.07
  0 (class)   120.78     1.50     0.26
  0 (class)   122.54     1.50     0.32
  0 (class)   124.36     1.50     0.36
  0 (class)   126.22     1.50     0.37
  0 (class)   128.09     1.50     0.29
  0 (class)   129.88     1.50     0.07
  0 (class)   131.45     1.50     0.07
  0 (class)   133.02     1.50     0.12
  0 (class)   134.64     1.50     0.39
  0 (class)   136.53     1.50     0.36
  0 (class)   138.39     1.50     0.34
  0 (class)   140.23     1.50     0.21
  0 (class)   141.94     1.50     0.10
  0 (class)   143.54     1.50     0.04
  0 (class)   145.08     1.50     0.18
  0 (class)   146.76     1.50     0.34
  0 (class)   148.60     1.50     0.45
  0 (class)   150.55     1.50     0.50
  0 (class)   152.55     1.50     0.32
  0 (class)   154.37     1.50     0.49
  0 (class)   156.36     1.50     0.28
  0 (class)   158.14     1.50     0.45
  0 (class)   160.09     1.50     0.36
